property_id,description.sold_price,description.baths,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.county.name,property.sqft,property_age,basement,central_air,community_outdoor_space,community_security_features,dining_room,dishwasher,fireplace,forced_air,garage_1_or_more,garage_2_or_more,hardwood_floors,laundry_room,recreation_facilities,shopping,single_story,two_or_more_stories,washer_dryer,city_mean_sale_price
6948641917,12.35017731849889,1.0,0.0,1.0,3.0,single_family,19901,-75.513956,39.165561,Dover,DE,Kent,9.232199706329077,74.0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,12.663812781653967
7366299978,12.314931534737134,1.0,0.0,1.0,3.0,single_family,73121,-97.456528,35.516445,Oklahoma City,OK,Oklahoma,10.73070660463555,65.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,12.321380875347504
3636640453,11.813037464800539,1.0,0.0,1.0,2.0,single_family,48910,-84.569835,42.713253,Lansing,MI,Ingham,8.5016733797582,83.0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,11.892376606402612
4912759339,13.25339339419516,3.0,0.0,3.0,6.0,multi_family,2909,-71.45518,41.80814,Providence,RI,Providence,8.27410200229233,105.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.357013834317922
5465583510,12.570719231334277,2.0,0.0,1.0,3.0,single_family,23224,-77.446401,37.506834,Richmond,VA,Richmond City,9.353574540062091,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.014891498584698
6058401380,11.532737896139919,2.0,0.0,2.0,3.0,single_family,23224,-77.461743,37.509371,Richmond,VA,Richmond City,7.887208585813932,105.0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,13.014891498584698
4603176266,12.524530013005734,1.0,0.0,0.0,3.0,single_family,12205,-73.837567,42.742167,Albany,NY,Albany,10.028003427233696,63.0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,12.397054572622922
1029005290,13.11029282045951,3.0,1.0,2.0,4.0,single_family,97301,-122.998033,44.95829,Salem,OR,Marion,9.883437894730424,115.0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,12.920203277032849
1044663436,13.442998001373553,2.0,2.0,2.0,4.0,single_family,95817,-121.457285,38.550484,Sacramento,CA,Sacramento,8.699348067653093,75.0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,13.13856380733656
5954598795,12.560247968016562,2.0,0.0,1.0,4.0,single_family,19901,-75.515538,39.176915,Dover,DE,Kent,8.987321812850125,61.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12.663812781653967
8022230488,12.971542813248437,1.0,1.0,1.0,3.0,single_family,53705,-89.468021,43.06686,Madison,WI,Dane,9.334944535200714,66.0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,12.829961740865684
5888211489,11.695255355062795,1.0,0.0,1.0,3.0,single_family,23234,-77.447536,37.461208,Ampthill,VA,Richmond City,8.956093075610639,71.0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,11.695255355062795
5457754728,11.884495917930655,3.0,0.0,2.0,3.0,townhomes,19901,-75.49341,39.126891,Dover,DE,Kent,8.101980731853192,47.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12.663812781653967
9536548761,12.793862088206213,1.0,0.0,1.0,1.0,condos,2130,-71.10183,42.322334,Boston,MA,Suffolk,8.74798740166097,90.0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,14.203860991477287
9904165467,12.506180941677357,0.0,0.0,0.0,4.0,land,30345,-84.39985945348836,33.764820529069766,Atlanta,GA,Fulton,11.08203485077085,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13.191588795587576
8502336490,12.001511614739405,1.0,1.0,1.0,2.0,single_family,73116,-97.562356,35.537718,Oklahoma City,OK,Oklahoma,8.937875265329263,73.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12.321380875347504
3709106357,13.554147092530322,1.0,0.0,1.0,1.0,condos,2215,-71.091049,42.348591,Boston,MA,Suffolk,6.673297967767654,115.0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,14.203860991477287
7691467092,13.161586013632684,2.0,2.0,0.0,3.0,single_family,37076,-86.576828,36.157823,Hermitage,TN,Davidson,9.409027282856401,19.0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,13.161586013632684
7060955287,11.225256725762893,2.0,2.0,1.0,3.0,single_family,72204,-92.363116,34.731835,Little Rock,AR,Pulaski,9.072571442231286,52.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,12.499362636049508
5413862173,13.235693848424024,3.0,3.0,2.0,3.0,single_family,27613,-78.730449,35.89004,Raleigh,NC,Wake,10.661719979752007,44.0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,13.24467031491859
8225042386,11.149096419938578,1.0,1.0,0.0,2.0,single_family,50316,-93.597985,41.606049,Des Moines,IA,Polk,8.989194823324645,73.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,12.32388571440559
4809329776,12.460718739865236,2.0,0.0,2.0,3.0,single_family,40601,-84.793805,38.186852,Frankfort,KY,Franklin,10.029943976488687,85.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.489348436729408
5228366832,12.380030154325457,2.0,0.0,2.0,2.0,townhomes,27604,-78.583202,35.840982,Raleigh,NC,Wake,8.27410200229233,41.0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,13.24467031491859
2211701085,13.112315061750808,2.0,2.0,0.0,4.0,single_family,97302,-123.078812,44.90953,Salem,OR,Marion,8.715880102296456,9.0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,12.920203277032849
3537206726,12.162648309521318,2.0,1.0,2.0,3.0,single_family,12209,-73.788232,42.641301,Albany,NY,Albany,8.022896869601457,85.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,12.397054572622922
8120057684,12.220966184120165,2.0,2.0,1.0,3.0,single_family,55106,-93.035019,44.949837,Saint Paul,MN,Ramsey,8.602636673233706,74.0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,12.883975543735694
9645808891,12.429220196836383,2.0,0.0,2.0,3.0,townhomes,19901,-75.505335,39.160328,Dover,DE,Kent,7.601402334583733,7.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,12.663812781653967
6842832534,12.487488878546145,1.0,0.0,1.0,3.0,single_family,19904,-75.563413,39.092204,Dover,DE,Kent,9.99884318585288,51.0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,12.663812781653967
3817652508,11.884495917930655,1.0,0.0,2.0,3.0,single_family,48906,-84.575986,42.76428,Lansing,MI,Ingham,8.910045761473558,73.0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,11.892376606402612
2684450658,13.147057941212308,2.0,3.0,1.0,3.0,single_family,98502,-122.939904,47.096263,Olympia,WA,Thurston,10.98201617442016,28.0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,13.099946485895329
8314573523,12.793862088206213,4.0,2.0,2.0,3.0,single_family,73132,-97.625702,35.559714,Oklahoma City,OK,Oklahoma,8.707978826622321,48.0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,12.321380875347504
7507204218,12.873648139727594,3.0,0.0,2.0,6.0,multi_family,55104,-93.133475,44.949971,Saint Paul,MN,Ramsey,8.474911799159631,136.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12.883975543735694
9350021940,12.634606283893019,1.0,0.0,0.0,2.0,multi_family,6120,-72.67617,41.78434,Hartford,CT,Hartford,8.561784074744113,102.0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,12.681933425252732
6409080870,12.765691290604371,2.0,2.0,1.0,3.0,townhomes,32311,-84.199628,30.436991,Tallahassee,FL,Leon,8.474911799159631,24.0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,12.655729311855971
5654985447,11.127277689932466,1.0,0.0,0.0,1.0,condos,32304,-84.315908,30.456399,Tallahassee,FL,Leon,6.77078942390898,58.0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,12.655729311855971
3746141977,11.736077016252437,2.0,0.0,3.0,4.0,townhomes,17110,-76.89017,40.283661,Harrisburg,PA,Dauphin,7.176254532017144,118.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.398328031390978
7047886314,12.468056068255885,2.0,2.0,2.0,3.0,single_family,72223,-92.419368,34.790459,Little Rock,AR,Pulaski,9.334944535200714,44.0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,12.499362636049508
2359528906,13.41129616738276,3.0,6.0,2.0,3.0,single_family,98512,-122.969591,46.975157,Olympia,WA,Thurston,11.218406742459457,33.0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,13.099946485895329
1620284404,12.899097318586382,1.0,4.0,1.0,3.0,single_family,98513,-122.706452,47.062384,Olympia,WA,Thurston,9.968572799192062,64.0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,13.099946485895329
6996083937,11.938199736300925,1.0,0.0,3.0,3.0,single_family,8611,-74.742237,40.205261,Trenton,NJ,Mercer,7.68662133494462,128.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12.161837685474785
2872956041,13.038983942375959,2.0,2.0,1.0,3.0,single_family,89706,-119.757406,39.183852,Carson City,NV,Carson City,8.784927626058323,24.0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,13.236370896291081
7542602278,12.323860125621126,2.0,0.0,2.0,3.0,single_family,68504,-96.644364,40.835584,Lincoln,NE,Lancaster,9.121399862679535,100.0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,12.722580218358145
6310233950,12.834683971615659,2.0,0.0,1.0,4.0,single_family,23294,-77.540375,37.618177,Henrico,VA,Henrico,9.3722891389622,62.0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,12.722350017836135
3958077396,12.025755079404917,3.0,0.0,2.0,3.0,single_family,48911,-84.604361,42.671138,Lansing,MI,Eaton,8.910045761473558,48.0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,11.892376606402612
6669577022,12.959846800844963,2.0,2.0,1.0,4.0,single_family,32309,-84.219626,30.541008,Tallahassee,FL,Leon,8.715880102296456,30.0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,12.655729311855971
3682689083,11.982935344196433,1.0,0.0,1.0,2.0,single_family,46241,-86.256974,39.746846,Indianapolis,IN,Marion,8.784927626058323,105.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,12.492239234278907
8344522070,13.620104977426395,3.0,2.0,0.0,2.0,condos,68508,-96.710551,40.816489,Lincoln,NE,Lancaster,6.77078942390898,15.0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,12.722580218358145
6618333570,13.563196916350243,4.0,0.0,1.0,6.0,single_family,21401,-76.550551,39.004569,Annapolis,MD,Anne Arundel,10.40746981382011,39.0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,13.577082648520628
8623322344,12.310437165348775,3.0,0.0,2.0,4.0,single_family,55103,-93.113008,44.958699,Saint Paul,MN,Ramsey,8.38958706681109,128.0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,12.883975543735694
